Coordinate1,Coordinate2,Energy
0.9200,75.0000,-75.97547
0.9200,80.0000,-75.98582
0.9200,85.0000,-75.99412
0.9200,90.0000,-76.00049
0.9200,95.0000,-76.00502
0.9200,100.0000,-76.00781
0.9200,105.0000,-76.00899
0.9200,110.0000,-76.00868
0.9200,115.0000,-76.00701
0.9200,120.0000,-76.00413
0.9200,125.0000,-76.00020
0.9400,75.0000,-75.97884
0.9400,80.0000,-75.98878
0.9400,85.0000,-75.99674
0.9400,90.0000,-76.00280
0.9400,95.0000,-76.00707
0.9400,100.0000,-76.00964
0.9400,105.0000,-76.01061
0.9400,110.0000,-76.01011
0.9400,115.0000,-76.00827
0.9400,120.0000,-76.00522
0.9400,125.0000,-76.00114
0.9600,75.0000,-75.98032
0.9600,80.0000,-75.98987
0.9600,85.0000,-75.99749
0.9600,90.0000,-76.00327
0.9600,95.0000,-76.00729
0.9600,100.0000,-76.00964
0.9600,105.0000,-76.01041
0.9600,110.0000,-76.00973
0.9600,115.0000,-76.00772
0.9600,120.0000,-76.00451
0.9600,125.0000,-76.00028
0.9800,75.0000,-75.98016
0.9800,80.0000,-75.98932
0.9800,85.0000,-75.99662
0.9800,90.0000,-76.00213
0.9800,95.0000,-76.00590
0.9800,100.0000,-76.00804
0.9800,105.0000,-76.00862
0.9800,110.0000,-76.00777
0.9800,115.0000,-76.00559
0.9800,120.0000,-76.00224
0.9800,125.0000,-75.99785
1.0000,75.0000,-75.97856
1.0000,80.0000,-75.98736
1.0000,85.0000,-75.99435
1.0000,90.0000,-75.99958
1.0000,95.0000,-76.00312
1.0000,100.0000,-76.00505
1.0000,105.0000,-76.00545
1.0000,110.0000,-76.00443
1.0000,115.0000,-76.00210
1.0000,120.0000,-75.99861
1.0000,125.0000,-75.99408
1.0200,75.0000,-75.97571
1.0200,80.0000,-75.98415
1.0200,85.0000,-75.99084
1.0200,90.0000,-75.99581
1.0200,95.0000,-75.99913
1.0200,100.0000,-76.00085
1.0200,105.0000,-76.00108
1.0200,110.0000,-75.99990
1.0200,115.0000,-75.99743
1.0200,120.0000,-75.99380
1.0200,125.0000,-75.98915
1.0400,75.0000,-75.97177
1.0400,80.0000,-75.97986
1.0400,85.0000,-75.98626
1.0400,90.0000,-75.99098
1.0400,95.0000,-75.99408
1.0400,100.0000,-75.99561
1.0400,105.0000,-75.99567
1.0400,110.0000,-75.99434
1.0400,115.0000,-75.99174
1.0400,120.0000,-75.98798
1.0400,125.0000,-75.98321
1.0600,75.0000,-75.96689
1.0600,80.0000,-75.97464
1.0600,85.0000,-75.98075
1.0600,90.0000,-75.98523
1.0600,95.0000,-75.98811
1.0600,100.0000,-75.98947
1.0600,105.0000,-75.98937
1.0600,110.0000,-75.98790
1.0600,115.0000,-75.98517
1.0600,120.0000,-75.98129
1.0600,125.0000,-75.97641
1.0800,75.0000,-75.96118
1.0800,80.0000,-75.96860
1.0800,85.0000,-75.97444
1.0800,90.0000,-75.97868
1.0800,95.0000,-75.98137
1.0800,100.0000,-75.98255
1.0800,105.0000,-75.98229
1.0800,110.0000,-75.98069
1.0800,115.0000,-75.97785
1.0800,120.0000,-75.97387
1.0800,125.0000,-75.96889
1.1000,75.0000,-75.95476
1.1000,80.0000,-75.96187
1.1000,85.0000,-75.96743
1.1000,90.0000,-75.97145
1.1000,95.0000,-75.97394
1.1000,100.0000,-75.97496
1.1000,105.0000,-75.97456
1.1000,110.0000,-75.97284
1.1000,115.0000,-75.96988
1.1000,120.0000,-75.96581
1.1000,125.0000,-75.96074
1.1200,75.0000,-75.94773
1.1200,80.0000,-75.95453
1.1200,85.0000,-75.95983
1.1200,90.0000,-75.96363
1.1200,95.0000,-75.96594
1.1200,100.0000,-75.96679
1.1200,105.0000,-75.96627
1.1200,110.0000,-75.96443
1.1200,115.0000,-75.96138
1.1200,120.0000,-75.95722
1.1200,125.0000,-75.95207
