mouseNum,sex,pgm,chitau,ontau,tauoff,phase,amp,act,alpha,sdon,offsd,onoff,slop,D1Mit3,D1Mit22,D1Mit44,D1Mit33,D1Mit17,D2Mit1,D2Mit365,D2Mit56,D2Mit43,D2Mit48,D2Mit230,D3Mit131,D3Mit6,D3Mit11,D3Mit17,D3Mit162,D3Mit19,D4Mit1,D4Mit105,D4Mit108,D4Mit53,D4Mit139,D4Mit178,D4Mit27,D4Mit31,D4Mit203,D4Mit131,D5Mit73,D5Mit11,D5Mit135,D5Mit309,D5Mit398,D5Mit188,D5Mit95,D5Mit30,D5Mit98,D5Mit223,D6Mit1,D6Mit74,D6Mit19,D6Mit39,D6Mit15,D7Mit152,D7Mit25,D7Mit30,D7Mit68,D7Mit46,D8Mit58,D8Mit4,D8Mit25,D8Mit84,D8Mit47,D8Mit200,D8Mit13,D8Mit14,D8Mit42,D9Mit2,D9Mit4,D9Mit11,D9Mit37,D10NDs1,D10Mit51,D10Mit86,D10Mit170,D10Mit31,D10Mit10,D10Mit14,D10Mit233,D10Mit264,D11Mit2,D11Mit5,D11Mit59,D11Mit168,D12Mit81,D12Mit46,D12Mit236,D12Mit251,D12Mit71,D12Mit74,D12Mit5,D12Mit205,D12Mit260,D12Mit7,D12Mit195,D12Mit122,D12Mit150,vip,D12Mit263,D12Mit18,D13Mit13,D13Mit30,D13Mit53,D13Mit151,D14Mit14,D14Mit28,D14Mit7,D14Mit9,D14Mit34,D14Mit228,D15Mit53,D15Mit28,D15Mit35,D16Mit9,D16Mit4,D16Mit27,D16Mit106,D17Mit18,D17Mit6,D17Mit39,D18Mit18,D18Mit17,D18Mit40,D18Mit4,D19Mit93,D19Mit68,D19Mit28,D19Mit40,D19Mit46,D19Mit11,D19Mit1,D19Mit71,DXMit27,DXMit22,DXMit79,DXMit20
,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14,14,15,15,15,16,16,16,16,17,17,17,18,18,18,18,19,19,19,19,19,19,19,19,X,X,X,X
,,,,,,,,,,,,,,6.272,30.442,42.3214,68.3839,95.029,2.2259,20.21,41.9701,54.5735,77.3578,102.9503,4.8482,21.667,43.711,67.5314,79.2802,80.73,7.086,10.3252,19.9172,25.1454,29.6477,34.919,42.1296,50.0398,63.26,83.5353,12.8796,26.019,39.535,42.215,44.322,57.5091,63.8424,68.1627,76.9895,86.57,6.6824,23.6972,34.4798,49.34,77.701,2.7137,23.3479,45.707,68.7589,87.9888,2.5238,18.8857,33.46,48.923,53.2414,61.3675,72.1816,72.49,74.4612,20.7586,28.616,47.01,60.6841,1,8.05,11.8665,24.7053,35.2646,47.44,66.746,61.5822,46.04,9.79,40.593,63.4165,78.74,2.8,15.6686,21.0443,29.393,28.726,30.3353,37.1648,39.78,44.81,52.8018,54.906,57.8966,62.586,62.586,62.113,62.0544,30.064,53.808,63.729,64.7153,16.796,34.658,44.984,60.2,37.258,45.51,6.294,34.289,59.0005,2.86,25.429,40.842,57.6827,4.63,27.3741,45.636,4.53,21.088,37.1075,57.534,1,3.3831,10.8518,20.3777,29.056,36.2631,50.3188,56.278,5.9754,29.312,53.17,75.6574
1,1,0,23.47,23.43,23.57,0.68,16.3,26579,12.65,0.29,0.31,0.935,0,A,A,H,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,H,H,B,B,B,B,B,B,H,-,A,A,A,A,A,A,A,A,A,H,H,H,H,H,B,B,B,B,A,H,-,H,H,H,H,H,H,H,H,A,A,A,A,A,H,A,A,A,A,A,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,B,B,B,B,B,B,B,B,H,H,B,H,H,H,H,H,H,A,A,A,B,B,B,H,H,H,H,H,B,A,B,B
2,1,0,23.78,23.72,23.93,0,6.45,25899,14.85,0.51,0.46,1.109,0,B,B,B,B,B,H,H,B,B,B,H,H,H,B,B,B,B,H,H,H,H,B,B,B,B,B,B,H,-,H,H,H,H,H,H,H,H,A,B,B,H,H,H,H,B,B,B,H,A,H,H,B,B,A,B,B,A,A,A,A,A,A,A,H,H,H,H,H,H,B,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,A,H,B,H,H,H,H,H,A,H,B,B,B,B,B,B,A,A,A,A,B,B,B,B,B,B,B,H,A,A,B,B
3,1,0,23.72,23.73,23.62,-1.14,13.34,24026,12.49,0.97,0.7,1.386,0,A,A,A,H,H,H,H,H,H,B,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,B,-,-,B,B,H,H,B,B,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,-,A,A,A,H,A,A,H,H,B,A,H,H,H,B,B,B,H,H,H,A,H,H,H,H,H,H,H,H,A,A,B,B
4,1,0,23.7,23.57,23.7,-4.2,4.67,36281,12.57,1.41,0.65,2.169,2,A,A,A,A,A,H,H,B,B,B,B,H,H,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,-,H,B,B,B,B,B,B,H,H,B,B,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,A,A,A,A,A,A,H,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,B,H,H,A,A,A,B,H,H,H,H,H,B,B,H,H,H,H,H,H,A,A,B,B,B,B
5,1,0,23.33,23.49,23.33,0.42,1.52,22206,19.05,1.65,3.08,0.536,4,A,H,A,H,A,B,H,A,A,H,B,H,H,H,A,A,A,H,H,H,H,H,B,H,H,H,A,H,-,A,A,A,H,B,B,B,B,B,H,B,A,B,B,B,B,A,A,A,A,H,B,B,B,H,B,B,A,A,H,H,B,B,B,B,B,H,H,H,B,A,A,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,A,B,B,H,H,B,H,H,A,A,H,H,A,H,H,H,A,B,H,H,A,H,H,B,B,B,B,B,B,A,B,B,B
6,1,0,23.3,23.18,23.43,0.45,13.5,38192,13.99,0.96,1.38,0.696,1,H,B,B,H,H,H,H,B,B,B,A,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,B,H,-,H,H,H,H,H,H,H,H,H,B,H,H,B,B,H,H,H,B,A,H,-,H,H,H,H,H,H,H,H,H,A,A,A,H,H,B,B,B,B,B,B,H,H,B,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,B,H,H,H,H,H,H,H,H,H,B,H,H,A,A,A,A,A,H,H,A,H,H,B,H,H,B,B,B,B,H,H,B,B,A,B
7,1,0,23.7,23.65,23.83,-1.82,11.83,25211,12.89,0.73,0.57,1.281,1,H,H,H,H,B,H,A,B,B,B,B,H,H,A,H,H,H,H,H,H,H,H,H,H,B,B,B,B,-,B,B,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,A,B,B,H,H,H,H,B,H,H,B,A,H,H,B,B,B,B,B,B,B,B,B,H,A,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,A,A,H,H,H,H,H,H,H,B,B,H,B,B,H,H,H,B,B,H,H,H,A,B,B,H,H,A,A,A,A,B,B,B,B
8,1,0,23.68,23.51,23.68,-0.73,10.69,43100,14.87,0.82,0.66,1.242,1,H,B,H,H,H,H,H,H,H,B,B,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,-,-,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,B,H,H,H,H,H,B,B,H,B,B,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,A,H,H,-,B,H,-,B,H,H,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,H,B,B,B,A
